code	location	product_ean	store_name
IT	Europe/Rome	8119637007589	Chiavari
DE	Europe/Berlin	7427788076301	Neuburg an der Donau
MY	Asia/Kuala_Lumpur	3805077380737	Ulu Tiram
CL	America/Santiago	0817609153811	La Ligua
US	America/Los_Angeles	0193117125824	Bothell
US	America/Los_Angeles	3741068615603	Glendale
MK	Europe/Skopje	0190429751291	Saraj
AU	Australia/Melbourne	6593576933758	Wheelers Hill
US	America/New_York	1927152345614	Lebanon
US	America/Chicago	4577549857359	Bourbonnais
MG	Indian/Antananarivo	7715260935865	Ambatondrazaka
GB	Europe/London	6276626714421	Hartley
KE	Africa/Nairobi	5975187207427	Lodwar
TN	Africa/Tunis	0580125607631	El Alia
US	America/Chicago	3332398470682	Rolla
CL	America/Santiago	5320435018957	Chiguayante
RU	Asia/Vladivostok	5334786378318	Lesozavodsk
ES	Europe/Madrid	1678627807556	Villaquilambre
US	America/Chicago	1249252205132	Greenville
US	America/New_York	7670229076594	East Haven
GN	Africa/Conakry	2934144077582	Camayenne
US	America/New_York	8003338719929	Sterling
PH	Asia/Manila	9949531669205	Maasin
GB	Europe/London	2803220282724	Winsford
GB	Europe/London	3410604169107	Surbiton
CL	America/Santiago	1694382581395	San Bernardo
DE	Europe/Berlin	6793912680579	Radevormwald
CN	Asia/Shanghai	4413408628459	Zhoucun
VE	America/Caracas	4142963032073	Tinaquillo
PH	Asia/Manila	6461227276618	Tupi
US	America/New_York	8298723987605	Greenpoint
CN	Asia/Shanghai	3786419154929	Boli
IN	Asia/Kolkata	2684562559565	Periyakulam
CD	Africa/Lubumbashi	3756164152747	Kamina
US	America/Chicago	4208703313595	Fresno
AD	Europe/Andorra	7807911241927	les Escaldes
AU	Australia/Sydney	4721809982712	Strathfield
AZ	Asia/Baku	1898707018386	Qazax
KR	Asia/Seoul	2270709067453	Hongseong
BG	Europe/Sofia	3554629671846	Smolyan
IN	Asia/Kolkata	2172614512274	Pandua
AU	Australia/Sydney	0440352886653	Strathfield
US	America/New_York	9958373731285	East Haven
ID	Asia/Jakarta	3487135932098	Kediri
IN	Asia/Kolkata	6002476532102	Hungund
US	America/New_York	2386400857351	Punta Gorda Isles
CA	America/Toronto	2004555306837	Beaconsfield
DO	America/Santo_Domingo	1446304469638	Santa Cruz de Barahona
RU	Asia/Vladivostok	4733520798084	Nikolayevsk-on-Amure
US	America/Los_Angeles	5122449502190	Visitacion Valley
