pct_scrandom	mouse_move_total_rel_distance	screen_height	session_duration	pct_click_product_info	pct_scroll_move_duration	pct_mouse_move	total_load_time	ack	session_id	scroll_move_total_rel_distance	pct_mouse_click	product_ean	user_id	wild_mouse_duration	session_start	browser_name	screen_width	pct_input	pct_rage_click	pct_click	pct_doubleclick	pct_wild_mouse	page_activity_duration	pct_scroll_move
63.71643	11.29978	768	149.11034	62.67291	14.29123	9.84003	4.19735	1.00000	1033114	12.28954	12.58420	2139005736039	620	13.01277	2019-07-01 11:47:00	chrome	lower	0.02303	49.96160	12.48068	11.42829	23.71036	12.49226	33.18291
51.74348	13.13748	768	163.05821	59.97868	15.21523	11.08514	2.02382	0.00000	14510	9.73250	10.84626	3030130433376	63	13.70078	2021-05-13 18:32:11	safari	1280	0.04583	54.18813	13.13445	15.80843	55.88268	13.29695	68.64418
42.90940	11.46630	1024	78.42119	35.46067	16.67859	7.41775	3.04704	1.00000	1361705	10.63499	12.75621	9230795518485	8	13.42749	2022-05-12 00:35:42	mobile	800	0.03488	38.96273	12.50040	9.59787	52.28438	11.58261	29.17912
67.46043	11.74322	higher	56.21955	40.77012	10.43477	14.03905	2.43048	1.00000	685825	14.53088	16.66505	1231771837680	1804	13.28967	2022-03-05 07:36:58	safari	1920	0.03044	56.47094	12.52057	11.50484	47.99797	12.86195	58.94605
40.41804	10.68672	higher	168.59917	59.41243	14.79587	8.59154	0.92784	0.00000	788818	10.41036	9.61481	1472600383927	1409	11.83900	2019-05-23 18:22:17	firefox	1366	0.00718	64.08583	13.51290	17.92779	40.13351	14.18149	35.39474
36.50755	13.28826	1080	156.13744	62.01234	10.16489	15.17721	9.10417	1.00000	1218513	13.61102	18.37006	6398227720752	1506	13.21512	2020-12-06 13:46:23	edge	lower	0.02824	48.69919	14.04565	11.10365	61.96426	13.03194	44.26910
26.41862	9.58268	higher	192.68778	45.75638	13.62467	7.85184	3.86362	0.00000	850460	12.31938	12.42158	8349784329122	2327	10.30887	2020-07-06 11:57:43	chrome	1280	0.00158	45.03001	12.29882	16.88341	53.11264	14.58073	50.80561
51.38274	11.83050	600	191.91450	49.67053	15.82753	10.72946	7.85754	1.00000	1462255	11.24911	11.51755	6515788631932	2352	16.05127	2023-03-01 10:03:03	edge	1024	0.48031	52.76264	13.26320	12.54933	55.22975	12.28458	42.92556
53.38239	12.78528	768	127.06718	51.57553	10.44559	9.92149	1.31104	1.00000	911285	7.19845	15.42412	2053597884148	1523	8.81819	2019-10-09 01:44:47	edge	1366	0.00042	66.41629	12.91218	10.89841	52.10577	14.92228	43.37128
55.01237	11.43046	600	157.84177	49.05044	12.64092	10.47711	4.08219	1.00000	762472	11.24189	13.55075	1713267372870	2285	11.80458	2019-06-07 19:01:28	chrome	1920	0.00686	40.27984	13.54808	13.82752	63.74263	14.58586	24.94415
55.59696	11.60173	1080	158.58179	56.99300	15.35527	6.82125	1.47279	0.00000	378749	9.92568	14.39209	7566975397062	1954	10.14882	2023-03-18 15:47:35	chrome	1920	0.00137	64.73571	13.32618	13.59208	61.14051	12.82995	31.38442
53.32793	12.81062	768	167.54313	38.14756	9.07817	14.08709	5.58184	1.00000	50465	11.58173	17.38476	2408984375745	125	11.69840	2021-07-12 05:32:26	chrome	higher	0.00622	54.85290	13.87379	10.74914	53.18527	14.28218	54.69833
57.56750	11.28480	600	187.05617	43.03026	13.04807	10.89108	2.79017	1.00000	917458	12.30050	14.29081	9639253482915	1589	13.09895	2019-08-21 19:09:40	chrome	1024	0.02510	28.37592	14.58798	12.59972	55.65342	12.91779	73.55634
43.44381	11.58088	1080	112.64243	38.35266	11.13599	12.80637	2.71248	1.00000	15892	12.68612	15.85995	1216776552349	565	13.54724	2023-01-31 06:00:51	chrome	higher	0.03933	62.06449	12.73378	10.89465	30.73660	11.74776	33.77512
42.47761	10.91456	higher	123.44801	54.74721	16.74851	8.25257	1.80461	1.00000	275864	10.19893	12.36929	6210153099286	1168	14.81750	2019-10-25 13:51:44	other	1024	0.13990	62.58374	13.40894	15.48463	55.59700	12.83203	57.52231
58.95674	12.71769	1080	93.61935	15.96520	17.23644	10.21955	6.45914	1.00000	775126	12.85348	12.67861	8483792231777	2216	14.42841	2023-08-03 02:38:53	chrome	1280	0.09484	49.14733	14.65106	15.11169	44.27294	10.67431	23.12654
57.22861	9.90217	600	231.99303	33.97819	11.61568	9.72188	4.57489	0.00000	178099	11.51806	10.30090	5325030451185	1836	10.88741	2023-01-12 18:36:12	chrome	800	0.00278	64.73698	13.02837	13.61492	45.89949	14.69952	51.45145
48.10759	9.83192	1080	33.75726	79.19682	12.35086	10.55137	5.61248	1.00000	50529	10.49771	10.52653	0582664534119	4	15.11529	2020-02-03 10:13:24	chrome	1024	0.18840	23.73916	11.98403	8.96634	53.24306	13.79964	43.53815
66.27022	13.20702	1080	157.06642	31.55847	13.16996	11.34940	1.84655	1.00000	612769	11.72989	16.76867	1239422244450	1012	12.02553	2020-10-07 19:46:59	mobile	lower	0.00863	56.89112	14.72004	10.77962	64.48247	12.59374	56.11400
72.37822	9.98083	1024	166.05256	53.67499	14.56737	7.47062	2.49156	0.00000	498747	11.76519	7.70470	8413831483423	1641	11.29891	2021-07-26 17:13:56	edge	1280	0.00417	82.41733	13.70335	10.01060	67.08660	11.94727	60.81436
41.27486	11.63684	600	161.26375	60.21124	15.11884	7.96353	4.65659	0.00000	1174777	10.54151	12.32217	3110297144152	2338	11.20645	2022-05-20 17:17:08	edge	1920	0.00387	47.83463	14.55111	12.47354	67.65053	14.13102	31.12739
31.57191	14.50742	600	172.48520	44.37043	13.36816	17.55008	2.94030	1.00000	1116423	16.01723	10.62473	6092946085047	1153	16.76934	2023-05-21 23:08:42	edge	800	0.98479	42.32106	13.00230	12.33006	52.08141	12.03033	35.65748
62.58521	12.13678	1080	190.95342	50.88696	12.74779	14.61460	5.27553	1.00000	411228	12.00865	10.22911	9502083097577	2266	17.22170	2019-12-02 01:21:24	edge	1366	1.54812	44.09133	13.15384	11.89537	44.36995	12.48532	60.44691
53.33031	10.32608	768	167.84585	60.82396	15.79333	7.81228	4.28545	1.00000	1367985	11.30601	11.69097	7155833966313	1243	13.69283	2023-04-20 17:26:05	edge	1024	0.04546	65.27090	12.38689	11.70139	55.20189	11.65222	43.65960
42.34961	12.83853	1080	59.90616	47.50702	14.71899	11.98003	1.35234	0.00000	415906	11.85104	10.93999	5394665472315	1997	14.80011	2021-12-15 05:44:01	chrome	lower	0.13748	24.13825	13.01639	10.93895	65.48085	13.37084	72.88822
62.85862	11.49120	1080	211.83082	49.63788	12.74592	10.44729	1.99207	1.00000	924729	12.58916	14.58652	4055285405312	1101	11.47266	2018-10-02 12:10:56	other	higher	0.00501	39.19190	14.72718	12.45649	53.09603	13.97000	72.19706
